GUEST,SITE_URL,Introduction,Response,Acting Person,,Second Mentioned,Action,5 Love Languages (deprecate),
Wes Gray,https://www.joincolossus.com/episodes/88099067/gray-compound-your-face-off?tab=transcript,"My guest this week is a version of me, a funnier, cooler version who also has a Ph.D. and has served as an active-duty Marine. Lots of you will already be familiar with Wes Gray, and those of you who are not are in for a treat. Wes is the founder of Alpha Architect, a firm that manages quantitative equity strategies for clients using factors like value and momentum. He also advocates a more concentrated, pure approach to factor investing, which listeners know is music to my ears. While we share a lot of the same views on markets and investing, you will still find this refreshing. The conversation was easy to structure. I just took all the questions clients and prospective investors always ask of me and my firm and turned them on Wes. These range from very specific questions on quant investing to big existential ones. I listened to this on a long drive home and laughed out loud in the car at least five times. You are going to love it all.
Talk about the mindset that gets beat into you or brainwashed into you as a Marine. I’ve read a lot about Belleau Wood and Devil Dogs and sort of the mindset underneath it all. Compare that maybe to the rest of some other branches of the service and kind of how the mindset is or isn't an advantage if you think it. I don't assume you think it is.","Wes: [01:17:24] I would be remiss if I didn’t mention the standards. My mom and my parents obviously, did good but that's cheesy because everyone says that even though it's true. My wife, for dealing with me and having my three kids. Those are all the standards. I might have two, another military one but again, it's going to sound weird. Unfortunately, again, it’s going to go back to IOC, Infantry Officer Course.We had this guy that I’ll never forget and Captain Rettinger. He was the captain in charge of running IOC. At the time, this is serious because people are getting pulled out of IOC to go in-country combat so it was like a pretty hard-core time. This guy was like the hardest, meanest, biggest asshole on the planet. You're like just a straight-up not… I want to call it hazex. Everything in the end I realized, after the fact, was there for a reason. He was totally insane as far as like his warrior, monk-like just, “We’re going to dement you.” It's almost like, “You guys are like Vikings.” That was his mentality but we’re all still kind of like living in the 21st century. His harshness which at the time because I was a total buyer on that, I personally was like into it and I hated it at the same time. The reason I say it was the kindest thing is because I really felt he made us so freaking hard and so intense that when you actually did the real thing, you never had even breached in the system one. I was always insistent too even in combat zones like whatever. We’re just doing SOPs. I’d say it’s the kindest thing because I just feel like that's a good reason why not just me, but I think a lot of Marines that went through that platoon training with that guy are alive today because he actually kicked our ass so hard that it was actually ironically like a really kind thing. He wasn’t trying to be your friend. He was trying to, we learned the aftereffect, make you really good at your job. I just thought that was really nice of the guy, to be honest for kicking my ass which is a weird, nice thing.",Military trainer,,,Training,,
Rishi Ganti,https://www.joincolossus.com/episodes/4912487/ganti-esoteric-assets?tab=transcript,"My guest this week is Rishi Ganti, whose resume is bonkers. I'm not sure what to do, other than laugh in amazement at his professional credentials. Ph.D. in economics, CFA, CPA, lawyer, speaks six languages, and so on. The best part is, he isn't lording these credentials over anyone. In fact, casts some shade on the whole idea of credentials in our conversation. He just did it all because he's a learning fiend. Rishi's core idea about markets is this: avoid markets at all costs. As he explains off the bat, the minute there are multiple buyers for anything, prices get efficient very quickly. Therefore, the opportunity to find alpha shrinks. Instead, he searches for what he calls esoteric assets, things without a market, orphaned assets that require high human capital and human touch. We explore several interesting examples from charter school financing to factoring receivables for the Vatican. A stark realization I had during the episode is how big the world's asset base is. Almost all of our attention goes to the most highly refined ones, stocks, and bonds, but there is a whole other world out there we explore in great detail. The closing sections of this conversation on what Rishi would do if not investing, and his answer for the kindest thing that anyone has done for him, were among the best answers that I've heard. Please enjoy this great conversation with Rishi Ganti.","Rishi: [01:14:45] For me, I'm actually suspect in even guessing what the kindest thing would have been. There are so many. I may not even realize it, which sounds sad. Actually, one moment does come to mind as perhaps the kindest thing that was ever done to me, because it actually taught me what kindness was. I grew up with parents that were very unreliable. That's just a fact of my life. My friends like to joke that pretty much explains everything in my adult life. When we moved from the south suburbs of Chicago into a solidly middle-class suburb at Wheeling, Illinois, this is a place where all the roads are twisty and windy and have cul-de-sacs because it's residential. I'd never seen that, coming out of a city. Of course, I was left to fend for myself whether I was going to school or not, or where the bus was. I had no idea as I walked out the door what even to do. That was my existence. My mom told me, ""Well, you've got to get yourself to school,"" or whatever. I remember just crying, because I didn't want to be one of those kids. One of those delinquent kids that we had in Chicago, who didn't show up to school on purpose. I actually cared very much about school. It was a refuge for me, and it was a great place to learn. I was crying among all these townhouses or whatever, and curvy streets that just led to nowhere. I didn't know what to do. I just looked through tear-filled eyes at a house, with a very nice car, by the way. For a lower-middle-class suburb, this house had a sports car. I knocked on the door, and I couldn't have been intelligible. I was bawling. I asked the lady who appeared, ""Will you please drive me to school?"" She said, ""Sure,"" and she did. When you're really young, it's hard to think abstractly about things. You don't really know what honesty is, or courage, or anything. But at that moment, I really knew what kindness was, and a little bit more about what I had to be as a person.",Neighbor,,,Help in time of need,,
Jerry Neumann,https://www.joincolossus.com/episodes/58980708/neumann-the-deployment-age-power-laws-and-venture-capital?tab=transcript,"I am drawn to a group of investors that I call practitioner philosophers. These are people who have gotten their hands dirty in their respective fields, but despite being doers, they still often sit back and ponder the big questions. My guest this week is one such practitioner philosopher, New York City-based venture capitalist Jerry Neumann. I came across Jerry's essays a year ago. And he is on a very short list of writers whose work I read without fail and almost always more than once. You can think about this conversation on business investing and venture capital as a big funnel, we start very broadly discussing where we might be in a large 70-year economic cycle. We then break down the so-called power law, which seems to govern venture capital returns and business outcomes, then we get even more specific discussing Jerry's process for evaluating early-stage companies and the particulars of what might make a good venture capitalist. I say might, because as Jerry explains often, nothing is certain and luck may always play a huge role. I just love this conversation.
It is the type that without the podcast as an excuse, would be a very odd and intense one if I were just meeting Jerry, for the first time. You'll find no small talk or even medium talk here. This is a meaty discussion with one of the smartest and most straightforward people I've come across. Let's dive in.","Jerry: [01:26:07] How can anybody not say something about their parents, right? But here's the kindest thing anybody has ever done for me in reality. This is maybe... I should probably say something more interesting. But when I was a kid, my parents thought I was bored. And I was bored. I get bored easily. And they said... I must have been 13. ""You know what? We're going to buy you a computer."" And they bought me a TRS-80, which at the time was incredibly expensive. It was $800 and that that day's money, which is probably several thousand dollars now. Nobody had computers. So them saying, ""We're actually going to... We don't know much about computers, he seems to think they're interesting, he's bored, he seems smart, let's buy him something that'll keep him occupied."" They bought me a computer and two years later I was programming professionally, I went to college to learn how to build computers. I built a smaller computer, not a full-fledged TRS-80, but I built my own computer when I was 16. Really, that was the beginning of this career that has made me successful. And I think it's one of those things where one of my kids walked to me and said, ""Hey, I need a $5,000 thing, that seems kind of cool. Can you do that?"" I think my parents made a bet on me. That was a good bet, but there's no way to know that at the time. That's got to be probably the... I don't know if kind is the right word, but-",Parents,,,Gift,Bought him a computer,
Patrick O'Shaughnessy,https://www.joincolossus.com/episodes/46974059/oshaughnessy-ten-lessons-after-almost-a-year-of-podcasting?tab=transcript,"A future guest just told me, every band has a song about being in a band. So today I will give you my version. I won't do this often, and I only do it this week in case listenership drops due to the holiday. I didn't want any guest to have a smaller than normal audience. I've now been doing this for almost one year and have learned a tremendous amount. Since the whole idea behind the show is to learn in public, I'm going to share a few of the lessons I've learned with you today. I'll shape it as a top 10 list, which ends with a fun story about my recent dinner with Warren Buffett. You'll notice that many of these are just good business and life lessons applied to something specific. In this case, a podcast. I hope you can pull the essence of one or more of these things and change how you do things, especially if you create any sort of content as part of your job. Onto the list.",Question not found,,,,,,
Scott Norton,https://www.joincolossus.com/episodes/80473072/norton-seek-to-learn-that-which-cannot-be-taught?tab=transcript,"If you'd told me a year ago that I'd be learning critical life and business lessons from the founder of a ketchup company and that 30 to 50,000 people would like to our conversation, I would have told you that was impossible. But the fact that it's true, proves many of the points laid out by this week's guest Scott Norton, co-founder of Sir Kensington's, which was recently acquired by Unilever. Sir Kensington's, which makes ""condiments with character"" is no ordinary ketchup company and Scott is no ordinary founder. We talk about the most elemental aspects of business, product, relationships, sales, marketing and culture.
I love that we can do so through the lens of such a seemingly simple product, something we use all the time with our families at a barbecue. Scott's observations on culture, the importance of relationships within sales and competitive edge are all memorable. But above all, I'll remember his line, seek to learn that which cannot be taught and I will continually return to the mental of the temple of Poseidon. Oh, and as a bonus, we also talk about biking around Asia, which like all of Scott's stories comes complete with thought provoking lessons. Enjoy this unique conversation with one of the most interesting people I've met on this journey.","Scott: [00:49:42] That's a good question. I think that the kindest thing that someone's done for us is, one of our now board members and a very, very early investor in Sir Kensington's really took a bet on us. His name is Keith Miller and I often refer to him as the godfather of our business. Here's someone that had no business meeting with two guys making ketchup. He works in a private equity firm in a fancy office in Midtown. He's an entrepreneur, CEO, board member of public companies. When you walk into his office, he's got pictures that he's taken on Polaroids of Kanye West and the Olsen twins. Here's someone who, before we had any social proof.Before we had any really evidence that we were going to be successful, he saw something in us and that was very personal to him and I think he took a shot on us and through thick and through thin. Whether we were beating budget or whether we were missing budget or whether things were looking up or things were looking challenging, he was just relentless in helping us get to that next level. Above and beyond what the responsibility that he would have as an individual was.Witnessing that kindness was inspirational and has been inspirational for me, because it goes along with this great piece of advice that my grandfather says which is, ""If you want to be successful, don't be a go getter, be a go giver."" It helped me recognize that not only do you get a personal benefit and an emotional satisfaction from being able to provide for others, but it's really necessary to help create the future and to be an innovative category as an innovative businesses where is no traction or proof. Or when there is, it's too late to be part of that early stage. Keith's been tremendously kind to both of us and he's been a role model for me.",Investment firm,,,Took a chance,,
Andy Rachleff,https://www.joincolossus.com/episodes/5575746/rachleff-building-something-people-want-to-buy?tab=transcript,"My guest this week is Andy Rachleff, who is the CEO of the automated investing platform Wealthfront. Andy was also the co-founder and long-time partner at Benchmark Capital, one of the most interesting and successful venture capital firms in the world. We spend most of our conversation discussing venture capital investing and entrepreneurship. Andy coined the now ubiquitous term “product/market fit” and has great insight into how investors and entrepreneurs should think about business. In that vein, we discuss both what we refer to as the value hypothesis: building a product or service that customers love, and the growth hypothesis: scaling that product or service to a large market. We finish our conversation by talking about Andy and his team's mission at Wealthfront, and this conversation is perfectly timed, as Wealthfront just released a new feature that allows investors to buy factor portfolios, similar to Smart Beta ETFs.
Above all, I'll remember Andy's advice to put the gun in the other person's hand - a strategy we explore in the middle of our talk. We start our conversation discussing what has made Benchmark Capital so successful, which started with how the founders thought about their competition. You can find show notes for this episode at investorfieldguide.com/andy. And now please enjoy my conversation with Andy Rachleff.","Andy: [00:44:23] Gosh, I've been the recipient of an amazing amount of kindness over the years. I actually think my entire career is a function of kindness and luck. God, when I was in business school... It's really funny that I worked on Wall Street for a couple of years after college. And I worked in mergers and acquisitions at Blyth, Eastman Dillon and the head of the M&A department was a Stanford grad. And he encouraged me to go to Stanford Business School because he knew I wanted to get into venture capital and he wrote a wonderful recommendation and I was lucky enough to get in. So, that was really good.And then turns out his son was a year ahead of me in business school. So he took me under his wing and his son introduced me to one of his best friends who, as it turns out, his father was then the CEO of Hewlett Packard, which was the Google of the day. And he had gone into venture capital. And for some reason, he took a liking to me and he introduced me around the venture capital firms. And that's how I got into the venture business. I started working while I was going to school. And just over and over and over again, people have done amazingly nice things for me to give me an opportunity. And that's why I'm such a big believer in the golden rule.",Boss,,,Promoted on platform,need to recat,
Leigh Drogen,https://www.joincolossus.com/episodes/45467153/drogen-quant-vs-traditional-investors-and-how-alphas-become-betas?tab=transcript,"I've often joked that this show should be called, this is who you're up against. Because I am so often having conversations with brilliant people across the investment landscape who are effectively my competition and yours. This week's conversation fits that description because it gives you an inside view of how things work among some of Wall Street's most competitive investment firms. My guest is Leigh Drogen, who has worked as a statistical arbitrage portfolio manager and who founded and now runs Estimize. A data company that works with some of the world's largest hedge funds. Our conversation centers on the massive shift, from what we call discretionary portfolio management, basically stock-picking. To a landscape that is increasingly dominated by quantitative investors of various types. We talk about how any investor might hope to earn alpha and how doing so is harder and harder. There are so many great stories in this episode told by someone with the perfect career experience to know how the system actually works. After many episodes where I've been learning on the fly about topics like venture capital, permanent equity, or even health.
All right, Leigh. Well, I've been really excited about this one because I have intentionally avoided most discussions of quantitative investing on the podcast. Just because I spent most of my 10 years of my career doing this. And I thought it'd be fun to branch out a little bit, but I'm not ready to dip my toes back into the water. And we met very briefly at, I think it was a Quant Conference, actually. And we started talking about Favor, and we started chatting about something very specific, which we'll get to in a minute. But then I also came across a piece that you wrote on LinkedIn. Which I thought was one of the most thoughtful pieces on the current state of the investing spectrum between traditional, deep fundamental work and quantitative investors. And how that balance might look in the future. And that's really where I'd like to focus today. Because I think it is a fascinating shift that we're watching in real-time. And that a lot of big people, even famous people are being left behind by this move towards quant.","Leigh: [01:13:14] Oh, man. Well, it's very simple. My co-founder Brian Smith, I think it's the luckiest thing that ever happened to me was finding him. So a lot of people don't know this. Some people know it, but a lot of people don't know that the first year of this company was just terrible. We did everything we could possibly do wrong and the company almost died. In fact, there's an article in Business Insider from our launch day in January of '12, where I have shingles because I have not eaten or slept. And I'm just freaking out because we have to get this thing out the door. And I fired my original co-founder, who was a very nice guy, but we just did not work well together at all. And we just barely got the platform out the door and I was just a wreck emotionally, mentally, physically. And they had to airbrush my face because one side of my face is all puffy and everything. So the article's great. The image is ridiculous because one of my eyes is almost closed.So we get the platform out the door and our intern at the time was an incredible engineer, held the thing together for three months. And I find this guy who lives in San Diego, where I went to school, who I met on AngelList of all places, which we've hired a ton of people from since. And it's an incredible platform. And I meet Brian and on a whim, he flies out to New York for a week and stays with me in my apartment. And we go at this problem. Okay. So we have this platform out the door, but it's like, ""Is this going to work?"" It's very much just still the experiment. And he spends a week and he goes home and he emails me the next day. And he's just like, ""I'm in."" And we paid him basically nothing for the first like six months while we did this experiment. And this guy could go to work anywhere. He was a former Google cryptography expert. Incredible guy, just did this on a whim. The idea, me, whatever he bet on, he just bet on all of it. And without him, this thing never would've worked. And I wouldn't have gotten to do any of this. I would've gone back to running money or something. And I think it's the luckiest thing that happened in my life. And I wouldn't have taken that bet. It was a disaster. The operational aspect of this thing was a disaster up until then. And he comes in and nothing goes perfectly well. But we've been on a very upward trajectory since then with very minimal hiccups.",Peer,,,Started something together,,
Ira Judelson,https://www.joincolossus.com/episodes/51814952/judelson-bail-street-with-nycs-leading-bail-bondsman?tab=transcript,"This week's episode is very unique. It is the first episode devoted to bonds, just not the kind of bonds you might be expecting. My guest is Ira Judelson, who is the leading bail bondsman in New York City. I met Ira through my friend and former podcast guest, Danny Moses, who is also part of this conversation. I've always had a passion for understanding how different businesses work. In this case, this week we're exploring a different business, but also a different world. Ira's story is larger than life. He is as authentic and hardworking as they come. In both his book and this conversation, there is a lot about family, loyalty, and hard work. Principles which really resonate with me. You'll emerge from this hour with an appreciation of hustle and what it takes to get ahead. I can't stop thinking about our discussion on how sources of power in any career morph through time. A framework that can help anyone think about their work and where to apply effort. The conversation goes all over the place, but suffice it to say, we discussed bond collateral, Dominique Strauss-Kahn and DMX. And that is but one small fraction. Please enjoy my conversation with Ira Judelson and Danny Moses.",Question not found,,,,,,
Dave Chilton,https://www.joincolossus.com/episodes/54239689/chilton-the-human-blitzkrieg?tab=transcript,"This week's conversation was especially fun. I have a long history with my guest, Dave Chilton, but this was the first time we'd met in person. I'd heard stories about him from people I worked with for 20 years. So getting to finally spend time with him was a real treat. I'll let him reveal the connection. This episode will also be fun for listeners in the US as Dave is one of the best-known people in Canada because of his famous book, The Wealthy Barber and his more recent stint as a dragon on Dragon's Den, which is Canada's version of Shark Tank. I called this episode, The Human Blitzkrieg because of Dave's relentlessly positive style and curiosity. He is dabbled in many parts of the business and investing worlds. He's one of the most successful authors in history has invested in dozens of interesting businesses and is a Jedi Master in the long lost art of the phone conversation.
We discuss business investing and writing. If you enjoy this conversation and have any aspirations as a writer, I highly recommend you check out the series of videos, Dave and his son recently released called The Chilton Method, which I will link in the show notes. I have no financial interest in this recommendation and actually, neither does Dave. He put it together in large part to stop people from calling him for advice. We discuss a few of the 100 plus lessons from his course in this conversation. As you'll be able to tell early and often it is hard not to have a good time with Dave. You can find show notes for this episode at investorfieldguide.com/Chilton. Now please enjoy my great conversation with, the wealthy barber Dave Chilton.","Patrick: [01:33:37] My closing question for everybody is to ask what the kindest thing that anyone's ever done for you is.

Dave: [01:33:43] Wow, that's an interesting one. I've been treated exceptionally well in general. Everywhere I go, people will say, the book made a difference in whatever else. But I think early in my career, I reached out to a number of people and said, ""I don't know what I'm doing. I'm going to self publish. And can you spend some time with me?"" And not a single person said, no, not one. You know, Andrew Tobias, remember Andrew Tobias?

Patrick: [01:34:01] Yeah sure.

Dave: [01:34:02] I found him in New York. I sent him my book. I said, ""Do you mind reading it? You're my hero."" Didn't like it. Got back to me. That's fine. Didn't like the book, but gave me a couple of tips and just handle himself like a true gentleman. And I always think of that and what a difference it made to me and all that. John Templeton gave me the cover endorsement for the Wealthy Barber in the United States.

Patrick: [01:34:22] Wow. Cool.

Dave: [01:34:22] And listen to this story. I phoned him and he picked up his phone and this is actually a funny story. I was like 27 and he picks up his phone and he says, ""John Templeton speaking."" And honestly, I was like, Holy shit what are you going to say? I was ready to go through the whole process of begging to get him on the phone. I said like, ""John, John, John, John Temple speaking. Why is he answering his own phone?"" And then I gave him the pitch, what a great guy. So kind and nice. And he said, ""I really liked that idea of using the story, send the book down."" I got something back from him I bet a week later. Said, ""I read the book cover to cover, I really liked it. Agreed with all of it, thought it was fantastic.""

So I mean, people in general have been exceptionally nice to me. And I've really... I've never been sued. I've never sued anybody. I've never had any major conflicts. I've just kind of tried to keep it light and loose. And I'm not very money-oriented either, which I think is probably a good thing. I think people who are all around money tend to get in a lot of conflicts and have a lot of those issues. And I like learning. And you know, I'm always happy, you ask your dad, he's never seen me in bad mood. I'm always in a good mood.",Mentor,,,Made time,,
David Salem,https://www.joincolossus.com/episodes/69062356/salem-the-art-of-asset-allocation?tab=transcript,"Our guest this week is David Salem. David was the founding president and CIO for the Investment Fund for Foundations, which served 800 endowed charities under David's 18 year tenure. He's now the CIO of the Windhorse Group, which focuses on long term value orientated investing. This conversation wanders into and explores many different areas of investing and life. The theme is how to think about asset allocation and invest holistically from first principles. But we talk a lot about motivation, incentives, human behavior, and the fear of missing out as key variables in money management. We discuss the history of the Yale and Harvard Endowment Models and how their success has affected the asset management world for better or worse. I also can't stop thinking about David's Mount Everest question, which we explore early on in our conversation. I'd love to hear your answers to that question. So email me or message me with your thoughts. You can find show notes for this episode at investorfieldguide.com/salem. And now please enjoy this great conversation with David Salem.
We've had this evolving landscape of asset allocation. Where it's one about asset selection or asset class selection or definition, and, two, about selection and allocation to those different choices. In the time you were at GMO working with Grantham, talking with Swensen and Jack at Harvard, what were the big questions? What was sort of the vanguard or the frontier, if you will, that you were thinking about, learning about, as you were trying to define sort of a baseline asset allocation. Then versus now, what were the principle differences back then versus now?",David: [01:12:39] Yeah.,,,,,,
Michael Mauboussin,https://www.joincolossus.com/episodes/5992759/mauboussin-man-machine-moats-and-power-of-the-outside-view?tab=transcript,"My guest today is Michael Mauboussin, who is the Head of Global Financial Strategies at Credit Suisse, and on my shortlist of must-read writers on all things investing. If you just read his entire catalog, Howard Marks' memos, and Buffet's shareholder letters, you'd be sitting pretty. He was also a big reason for the early success of this show appearing as my second guest, and now as my 37th. Michael and his team have been prolific in the last six months, publishing several long research reports on the most interesting aspects of the investing landscape. In this conversation, we talk about business modes, industry analysis, and how to combine man and machine when building an investment strategy and portfolio. As I tell Michael at the end, you won't be able to listen to this episode at two times speed, because we go deep quickly. You can find show notes for this episode at Investorfieldguide.com/Michael, and now please enjoy my conversation with Michael Mauboussin.",Question not found,,,,,,
Will Thorndike,https://www.joincolossus.com/episodes/81015990/thorndike-how-skilled-capital-allocators-compound-capital?tab=transcript,"This week's guest is Will Thorndike, an author and investor whose book The Outsiders is an all-time favorite of mine. Our conversation is in two parts. First, we dive deep into the lessons of his eight year research project, studying CEOs who are master capital allocators. These CEOs include Henry Singleton, John Malone, Tom Murphy, Katharine Graham, and Warren Buffett. We discuss how these CEOs tended to be contrarians on topics like dividends, buybacks, acquisitions, and the use of debt. As we go through each of the tools in the capital allocators toolkit, you'll hear several useful lessons for running or evaluating a business.
In the second part, we cover Will's career in private equity. Will founded and continues to run Housatonic Partners, investing in buyouts, recaps and search funds. Will has been one of the most active search fund investors for decades. And given how much time I've spent in past episodes on the searchers or operators in the micro-cap permanent equity space, it was great to get the perspective of an experienced LP. As always, we also take time to survey the dangers and opportunities in today's private equity market. You can find show notes for this episode at investorfieldguide.com/thorndike. And now please enjoy my conversation with Will Thorndike.","Will: [01:07:56] Yeah. Sure. I mean, in the early days of our firm I had two partners who were primarily investors. They were investors and it was their capital that we were investing. They had involvement me in the business, but not nearly full time involvement. I wasn't full time. There was a clear division between capital and labor in the group, and they very generously as things went along and returns sort of came in pretty well, they proactively very generously shared economics with me in a way that they didn't have to, in a way that was just very sort of set a certain tone for the culture of our firm. So I'm very appreciative of that still.",Coworker,,,Generosity,with finances,
Ted Seides,https://www.joincolossus.com/episodes/37193625/seides-the-bet-with-buffett?tab=transcript,"This weekend, I'll be making my first trip to the Berkshire Hathaway Annual Shareholder Meeting with a group of friends. It is therefore a great time to release this discussion with Ted Seides on the famous bet he made with Warren Buffett, which will no doubt be a key theme for the weekend's events. We discussed the origin of the bet, what it says about hedge funds in both the past and looking to the future, and what investors should consider when building their portfolios today. Stay tuned at the end of the conversation for a fun bonus question. If you're interested in asset allocation, hedge funds, alternatives, or fees, you'll find a lot to learn in this episode. You can find show notes at investorfieldguide.com/bet. Now please enjoy my conversation with my friend Ted Seides on his bet with Warren Buffett.",Question not found,,,,,,
Danny Moses,https://www.joincolossus.com/episodes/16551200/moses-the-big-short-and-beyond?tab=transcript,"Many of the most fun investing conversations are with traders and portfolio managers, because they live and breathe risk, day in and day out. Of course, they are often risking other people's money, but controlling real money in markets is hard to match. Theories and ideals can fade quickly, well laid plans often don't last. This week's guest is someone who has lived through his fair share of market highs and lows and I think you'll be able to tell quickly why I so enjoy conversations like this one. My guest is Danny Moses who is directly in the middle of one of the biggest trades in market history, chronicled by Michael Lewis in his book, The Big Short. Danny was the head trader on the FrontPoint Team, led by Steve Eisman, who along with a small handful of others, like Michael Burry and John Paulson, made enormous profits during the financial crisis, as they figured out, in real time, the disaster that was brewing in mortgage-backed securities and figured out how to position their portfolios in a way that would benefit from their insight. No easy feat.My conversation with Danny is multi-faceted, we talk about Danny's role in The Big Short, both the trade itself and the making of Michael Lewis's book. We cover the history and current state of sell-side research and how ETFs and other trends have made it difficult for traditional bottom-up fundamental managers. We even talk about Dominique Strauss-Kahn. To start this episode, I've pulled a piece from the middle of the interview, because I want to make sure that all aspiring asset managers out there hear Danny's answer about what he looked for when hiring an analyst. You can find show notes at investorfieldguide.com/Danny, and now, please enjoy this colorful conversation with Danny Moses.","Danny: [01:07:53] Wow, that's a tough one. You got me. We went from Bulldog football and Long Term Capital to the kindest thing. I've been given big breaks, and so anyone that says, wherever they are in life, that they weren't given an opportunity, I think it's what you do with the opportunity. I would say I was lucky to have the parents that I had, but secondly, there was a particular person, John Race , in my life. He runs a fund, DRZ, DePrince, Race & Zollo, down in Florida. He was the guy I looked up to, a good friend of my father's, a little bit younger than him, and he got me my job at Friedman, Billings, and Ramsey, at the time. Basically made a phone call for me and it was really out of kindness, because he knew I was a good sales guy and so forth, so that turned out to be the biggest break of my life. And he's always been that kind of guy for me, that's the guy I look up to, my mentor in this business, so I would say that was one of them

I'm trying to think what else. My wife does kind stuff for me all the time, I would have to mention that, or I'd be in deep trouble, but you got me on that one. Many people have been great to me. And again, I would go back to, people can open the doors for you, and it's what you do with it once you get it. And I'll be the first to say, my aunt got me my first job, but she didn't get me the promotion, she didn't get me ... So there's always been people that've opened doors for me, but I think people should never take that for granted and then always do the most with the opportunities that they get.

I broke my leg in 1984 and Miss Sweden, who had just won the Universe pageant, signed my cast, that was probably one of the kindest things anyone's ever done for me.",Family friend,,,Got a job,"not really took a chance, but made a recommendation",
"Royce Yudkoff, Rick Ruback",https://www.joincolossus.com/episodes/37952927/yudkoff-really-private-equity?tab=transcript,"In this episode, I continue to pull on one of the most interesting threads that I have uncovered in the course of producing this podcast, the world of permanent equity. My guests today are Royce Yudkoff and Rick Ruback. Two Harvard Business School professors, who have partnered to create a popular class that teaches students how to search for, acquire, and run a small business directly after graduation. The course is aimed at students who want hands-on management experience as soon as possible. After purchase, there's no timetable for selling the business. Indeed, if done well, there's never any reason to sell because the free cash flow yields to owners are higher than most alternatives. I approached this conversation from an investor standpoint. LP Investors usually partner with the searchers to form what is called a search fund. A search fund allows recent MBA grads to spend time looking for a business and ultimately acquire it. The result is small in scale but it's often a high return proposition for investors. I loved our discussion on what to look for in a business and what to avoid. The principles we list are useful for investors of any kind and will be particularly appealing to those from the buy and hold, value investing, or quality investing camps. One point of note which wasn't captured during the recording.
One of the reasons this style of investing isn't more well known is that it's extremely expensive upfront. It can take years to find a company and once found the transaction costs can be 20% of the total purchase price. As you'll see Rick calls this category REALLY private equity. If you enjoy this conversation, be sure to check out Royce and Rick's book The HBR Guide to Buying a Small Business. Which goes into many of the topics we cover in even greater detail. For show notes on this episode, visit investorfieldguide.com/hbs. Now, please enjoy this conversation with Royce Yudkoff and Rick Ruback. Royce and Rick, thank you very much for taking the time with me today to discuss a topic that is still relatively new to me, probably discovered it just three, four months ago. But I think from an investor standpoint and also from an operator standpoint is a really ripe and interesting niche in the world of investing, which is that of search funds. Maybe we could begin by you describing, pretending that I'm an LP looking for interesting things to do with my capital. Sort of explains at a high-level the idea behind a search fund and why both recent MBA grads but also LP investors might be interested in this concept.","Rick: [01:19:39] I think that's right. I guess I will say in a more personal light. I will say that I feel really lucky to teach at Harvard Business School. I've been here since 1987, so I guess that's 30 years. There's just been a number of times where the school has been wonderfully kind. I don't think about the Harvard Business School but I'll just reflect on one example that I think was amazing. I had a kid who was seriously sick and the family had gathered in my house and it was the year of the huge snowstorms. Remember that year of the huge snowstorms?

Patrick: [01:20:18] Maybe.

Rick: [01:20:19] Yeah, maybe. I live in Backbend and there was no place to put the snow. I get a call from somebody in the dean's office that says, ""Rick, I know you're going through a hard time. Is there anything we can do to be helpful? Just anything we can do to be helpful? Anything at all?"" I said, ""Yeah, I just can't park in my back. My parking lot is filled."" In like 32 seconds it seemed like, I'm back off to the hospital and my oldest son calls me and he's babysitting his kids. He says, ""You just won't believe what's happening in your backyard in the alley."" There's like 10 dump trucks and a bulldozer picking up the snow and moving it along so we can have a place to park."" That was one of a dozen nice things that Harvard Business School does, so I really appreciate that.",Employer,,,Help in time of need,,
Boyd Varty,https://www.joincolossus.com/episodes/65765159/varty-the-art-of-tracking?tab=transcript,"This week's episode is the most unique to date. My guest is Boyd Varty, who grew up in the South African wilderness, living amongst and tracking wild leopards. The main theme of our conversation is the art of tracking, and how the same strategy for pursuing animals in the wild can be applied to all aspects of our lives. Boyd's family has been part of the South African safari world for four generations and he is bringing what they have collectively learned to a larger audience around the world. The episode includes the best answer I've ever heard, which comes when I ask Boyd to describe his most memorable experience.
We also discuss the potential dangers of an achievement or goal-oriented mindset, and what he learned from spending time with Nelson Mandela as a boy. This episode is one I hope you share with those you love because I think Boyd's ideas will have a profound impact on many who are thinking about what to do with their lives, whether they are young or old. For show notes, visit investorfieldguide.com/boyd. And now, please enjoy my conversation with Boyd Varty.","Boyd: [01:15:27] Wow. Yeah, I've been thinking about this a little bit. I think one of the things that pops to mind and it's maybe not from a person, but I have felt that having a relationship with nature has been an act of incredible kindness from the natural world to me. I feel like anytime I've had problems, anytime I've been unsure, anytime I've lost my way, for me, retreating into nature has been an incredible sense of being cared for, of being in a field of kindness, in a field of presence, in a field of ... Maybe because it's a nonverbal environment, so you come out of the verbal mind and what you come to is ... What happens is a kind of oneness and so, that has been a big one.The other is, I feel like I've been lucky to be mentored, so meeting Martha as a safari guide and she met me, I was taking people out on safari. I was some guy out in South Africa and she just immediately, with no reason to, just started saying, ""Look, I love what you do and I'll help you."" She really grew me, she taught me how to be a coach. She taught me how to work with people and she just did it. It was just natural to her, so I feel like that was pretty amazing. Are you allowed to have a few?",Nature,,,,,
